id , user1, user2
904 , 1967947 , 294144
905 , 1783807 , 10705
906 , 1052368 , 3267
907 , 6751 , 1601662
908 , 178239 , 2908
909 , 3004 , 1439698
910 , 1412262 , 1093120
911 , 1048536 , 3251
912 , 1300079 , 782
913 , 2033989 , 14451
914 , 894539 , 7048
915 , 522134 , 1178767
916 , 1183280 , 2145
917 , 2044221 , 9574
918 , 498567 , 7930
919 , 1741481 , 2275
920 , 1826446 , 659
921 , 3124 , 123467
922 , 933523 , 305694
923 , 814842 , 731839
924 , 229182 , 14284
925 , 1775213 , 11302
926 , 986144 , 11705
927 , 39205 , 984378
928 , 1750564 , 4246
929 , 564847 , 2808
930 , 1632102 , 7143
931 , 1930021 , 2465
932 , 10957 , 764598
933 , 115810 , 1304
934 , 7730 , 2134
935 , 1961230 , 787399
936 , 651292 , 6285
937 , 824588 , 3298
938 , 269407 , 4918
939 , 847159 , 5845
940 , 1476 , 11996
941 , 114464 , 366296
942 , 1522141 , 571
943 , 1467595 , 12165
944 , 286098 , 2012720
945 , 1256024 , 7911
946 , 1505476 , 1160289
947 , 990226 , 344
948 , 85037 , 1453683
949 , 1603856 , 2839
950 , 667841 , 1985672
951 , 67503 , 199878
952 , 1945137 , 1371395
953 , 1301620 , 364732
954 , 720357 , 1583
955 , 1257327 , 409522
956 , 373043 , 578428
957 , 1137495 , 4223
958 , 480724 , 1304
959 , 1554144 , 9419
960 , 1744121 , 1942
961 , 1276901 , 8517
962 , 1166047 , 381780
963 , 795596 , 886616
964 , 1950373 , 14104
965 , 1384314 , 2032
966 , 1800415 , 2752
967 , 797691 , 186
968 , 1385845 , 728
969 , 824348 , 728
970 , 273144 , 1940760
971 , 184415 , 1679927
972 , 1213237 , 6469
973 , 216265 , 1286944
974 , 1743502 , 619894
975 , 1522803 , 5767
976 , 2418 , 220
977 , 1662446 , 12033
978 , 84151 , 1311
979 , 1598597 , 2610
980 , 729036 , 790
981 , 1270949 , 923
982 , 1376625 , 11469
983 , 669450 , 802
984 , 805537 , 2452
985 , 297461 , 4835
986 , 1676253 , 1255494
987 , 720389 , 6984
988 , 1392760 , 1001
989 , 6553 , 394650
990 , 530997 , 10644
991 , 1454824 , 11469
992 , 144354 , 1600086
993 , 158441 , 10968
994 , 733853 , 89425
995 , 189239 , 3398
996 , 886515 , 4016
997 , 1565252 , 151490
998 , 530917 , 365108
999 , 1797725 , 6759
1000 , 806990 , 2775
1001 , 1728135 , 14147
1002 , 1080968 , 361376
1003 , 1623470 , 577
1004 , 1713858 , 13421
1005 , 1700914 , 1271
1006 , 1817444 , 355588
1007 , 307712 , 492917
1008 , 13659 , 6092
1009 , 1518244 , 2428
1010 , 175289 , 1707173
1011 , 106733 , 937983
1012 , 5365 , 1148312
1013 , 2014142 , 12822
1014 , 989575 , 1176050
1015 , 1518043 , 2074
1016 , 203864 , 616
1017 , 1264022 , 8170
1018 , 11725 , 1943900
1019 , 1188231 , 6303
1020 , 503087 , 12031
1021 , 1031103 , 8567
1022 , 1570336 , 2839
1023 , 409529 , 844637
1024 , 1929070 , 2013
1025 , 1389475 , 395
1026 , 870442 , 31884
1027 , 957384 , 5288
1028 , 427791 , 312778
1029 , 4955 , 840276
1030 , 1608927 , 1732486
1031 , 1439887 , 11781
1032 , 4624 , 1479344
1033 , 10637 , 1576564
1034 , 1377154 , 1711223
1035 , 543688 , 1949720
1036 , 1189434 , 1647727
1037 , 229532 , 1862
