id , author1 , author2
34 , 30af90802d660640eb6c2ca8b6befc17 , 80751dc1e46eec2bc12dd8c05e70cfb9
35 , 4cb3185d6c6a61e8e80372dacb258a59 , c1624721f236f0869ed7dd3f6d0cf61d
36 , 1c02c34dcd61b47cd31c660c02edc25c , 90a6c7cb9fc41a8d412ee052a0f2b5c8
37 , 482d94f8d53670616a3f5bfa63e51291 , 7e9a90af9c43e92350c393653205e2b7
38 , ba11884d73f949be12d9e7236fa8eace , e08436712e1656b0be177698016fbbce
39 , 174c0c24df161ee6652f4e3422f6ce48 , faee8830ff41a62c5e86bd7450221e2b
40 , 93588c843e7fee2614f10c4f92628a60 , b0372fd5f56cc2b832876dd1adeae9a3
41 , 261def5ed561de33c82cac8417083996 , 8c37833ba882fb5d79a12e4e90033b9f
42 , 1d6ff5dc0c1b9e472376d643a581102e , cc42db5898283783e6a9b88598d8b649
43 , 5da7bfe5f5f112293563bf6c8029a948 , 73b16d0a629c5ccfeb6a2edef3701f21
44 , 7166605b4d4d16a4d661cff5cdf8a19b , 83df295ca1b631858a96eea96e7c6293
45 , 678dee15410ef24485cebccf6a42a6d8 , f0d565e2088286b2533e66b5fb640a02
46 , b571ba069a27e9d124f8ed4c8c8b21b6 , c9bb0df07c216ca21214c74b70dc24ca
47 , 2c7d7eaf980557c639317c145fb5cb19 , 2cba392254c8ea400ce44397300a815e
48 , 15ec0b82f544fbb6a2b3f4f6106ee25f , 60a9815287043df43c2b26aefa4a32dc
49 , 7a7fac0e0f473c663b036a0c91dc9420 , ec88370af8a056b04deb3d1621a677b0
50 , 22ac9b78b527092bca777b2d78185f59 , a27e85286e4d3e6c2d7b8f616ffd6280
51 , c051064bcda640cffdd3031e7ff06ce6 , c7c59429e23d26414e301c37c1c12ed3
52 , 5e976b69d40dfb702e6ff50b10d01030 , d63f512dbd31a316e475309b612be9ed
53 , 83ccbde9758c6b582600a2d8ccdcb446 , d628f1874dc8be0f837cb80d31921913
54 , 41539c714b8bc30f97e18db17e857119 , c8880440e78d6b70bd022d10282b2e0a
55 , 8136f6a2577b9289f612898ea816177e , efd2c2dd8202cad6ea2b9f6d98a34fbf
56 , cd37fa85222a7ad3a9cda5bfbb26787a , ef10dfdd0b7781f4ee649a34024f6348
57 , 9503d9332001536785215efa40d27982 , fe42c2e7c570af542cfee69406886154
58 , 3f6bd2c3daaa03b8547d133d1696bcf4 , d505450b7b5b26ffb99b6d7dcec352f7
59 , 785175c1bbbcfca5a369709aefddb091 , cca989b13f65a2d849ddc09302ed2110
60 , 299bd44e793f097b4461c5c261655a7a , f8977b31350ffedbdc3623bd2bbf820a
61 , 9a10854932662991f01e918105d01da9 , deac321679e3b2d9cf9c5ccb78200c20
62 , 053bfe8ccd82be17cf96788bf6373791 , 79d2295843f481eb1609eb0298a7916f
63 , 01cc3efa7d769aec198b611204ac735f , b0aa625f665eaafbdbae90b0cf56c753
64 , 267d60f1439dec1aedc0dd1e47da9a32 , 73c2d80ea5be1275d1f5bf2e847346b9
65 , 8ec4773daec0521265bc077a5f7e02fa , de597ad6c48ab86329a92e4d45fd4e89
66 , 603128a0419553bdf135ba88b9a3c66d , dcfefde01cfc4369c31634d2d4e7f853
67 , 33e03ec0bf797c098cf933721b8a3f95 , 5943c4401c7d4de6e83a0ba263a0b76a
68 , 6200732f80ea091f4bb102c84a5fde0b , b9fbc2faf8b23246ca36d813137af23c
69 , 3b5c0685b7ba73a4cfcbfb6a58e0705c , b16445b7f32d3fc17d06cb347c314434
70 , 3465d91b4391c1e3f68f6d49f776dde6 , 721acf3f3b7c64ea5dbb23105be65ed7
71 , 1f7207b2b64caf75da3b5430d1a6f557 , a12bef37d4371b288f188fabe8a8018c
72 , 3c8c720a3ebd85f30a6f8d1a2a89051e , f68a7d827f754ed6d62326d6f80b70da
73 , 397710ac2145c2e32b787b3dbe40b696 , 7d0e1e31382302a1596dce7cc6fee273
74 , 0754e1744cc424e1e8446499f2b3030e , 1b42605bb9a775164306cd9eeb183664
75 , 65f750cb781d1483751c2bcb8401b9fe , 8801be08f67522117127f10517d76586
76 , 0998163a4744d5d339ff28880f89e8aa , 49e374f37e493ff17fca788be6b436fb
77 , 821d7775c748f1b02ba82ff4e72d891b , b7e7821be05d9cb0a75089127ef0466b
78 , 1d776dcff93ca8aceebe247ce852596e , cbf733588b29ddf9aec9adfe6ba853a4
79 , 1ea8ade3d3c6e7a1a7584adbd2dae7e3 , 9655da3ff761840368a85fe5355f964e
80 , 0b710ddf89bbd867203dc9aebdc049f9 , 5a75a28ee6296f24acee21a2d082cb60
81 , 9f2f7c0f12fbe99b603745f2619a984e , c0db91dce98c3704e04ac8a8828c0d4c
